feature_set,n_features,best_params,best_cv_score,test_accuracy
rms+zc+mean_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7738095238095237,0.9166666666666666
rms+zc+median_freq,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.7619047619047619,0.75
rms+wamp+mean_freq,30,"{'n_neighbors': 5, 'weights': 'distance'}",0.8571428571428571,0.8333333333333334
rms+wamp+median_freq,30,"{'n_neighbors': 5, 'weights': 'distance'}",0.7857142857142857,0.6944444444444444
rms+mean_freq+median_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.761904761904762,0.8055555555555556
wl+ssc+zc,30,"{'n_neighbors': 5, 'weights': 'distance'}",0.6904761904761906,0.7777777777777778
wl+ssc+wamp,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7857142857142856,0.8888888888888888
wl+ssc+mean_freq,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.8333333333333334,0.6666666666666666
wl+ssc+median_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7142857142857143,0.75
wl+zc+wamp,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7976190476190476,0.7222222222222222
wl+zc+mean_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.75
wl+zc+median_freq,30,"{'n_neighbors': 5, 'weights': 'uniform'}",0.6785714285714285,0.7222222222222222
wl+wamp+mean_freq,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.8214285714285715,0.8611111111111112
wl+wamp+median_freq,30,"{'n_neighbors': 7, 'weights': 'distance'}",0.7380952380952381,0.7777777777777778
wl+mean_freq+median_freq,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.7738095238095238,0.8333333333333334
ssc+zc+wamp,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7738095238095237,0.5555555555555556
ssc+zc+mean_freq,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.7023809523809524,0.5277777777777778
ssc+zc+median_freq,30,"{'n_neighbors': 5, 'weights': 'distance'}",0.511904761904762,0.6944444444444444
ssc+wamp+mean_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7619047619047619,0.7222222222222222
ssc+wamp+median_freq,30,"{'n_neighbors': 5, 'weights': 'uniform'}",0.630952380952381,0.5833333333333334
ssc+mean_freq+median_freq,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.5714285714285715,0.5555555555555556
zc+wamp+mean_freq,30,"{'n_neighbors': 3, 'weights': 'distance'}",0.7261904761904762,0.7777777777777778
zc+wamp+median_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.6547619047619048,0.8055555555555556
zc+mean_freq+median_freq,30,"{'n_neighbors': 1, 'weights': 'uniform'}",0.5595238095238095,0.5833333333333334
wamp+mean_freq+median_freq,30,"{'n_neighbors': 5, 'weights': 'uniform'}",0.7261904761904763,0.5833333333333334
mav+std+maxav+rms,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.8333333333333334,0.9722222222222222
mav+std+maxav+wl,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9404761904761904,0.9166666666666666
mav+std+maxav+ssc,40,"{'n_neighbors': 5, 'weights': 'distance'}",0.8452380952380952,0.8055555555555556
mav+std+maxav+zc,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9166666666666666,0.9166666666666666
mav+std+maxav+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8809523809523809,0.9166666666666666
mav+std+maxav+mean_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.8928571428571428,0.8888888888888888
mav+std+maxav+median_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.9404761904761906,0.7222222222222222
mav+std+rms+wl,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9047619047619048,0.9444444444444444
mav+std+rms+ssc,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.8611111111111112
mav+std+rms+zc,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9166666666666666,0.8055555555555556
mav+std+rms+wamp,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.9047619047619048,0.8333333333333334
mav+std+rms+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9047619047619048,0.8888888888888888
mav+std+rms+median_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.8809523809523809,0.8611111111111112
mav+std+wl+ssc,40,"{'n_neighbors': 5, 'weights': 'distance'}",0.8333333333333334,0.9166666666666666
mav+std+wl+zc,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.9166666666666666
mav+std+wl+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9047619047619048,0.9444444444444444
mav+std+wl+mean_freq,40,"{'n_neighbors': 7, 'weights': 'distance'}",0.8095238095238096,0.8888888888888888
mav+std+wl+median_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.8571428571428572,0.9444444444444444
mav+std+ssc+zc,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8571428571428571,0.8333333333333334
mav+std+ssc+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7976190476190476,0.8611111111111112
mav+std+ssc+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9047619047619048,0.75
mav+std+ssc+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7976190476190476,0.8611111111111112
mav+std+zc+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7976190476190476,0.8888888888888888
mav+std+zc+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8809523809523809,0.8888888888888888
mav+std+zc+median_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.7857142857142856,0.75
mav+std+wamp+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.8888888888888888
mav+std+wamp+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8571428571428572,0.8888888888888888
mav+std+mean_freq+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8571428571428572,0.8888888888888888
mav+maxav+rms+wl,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9047619047619048,0.8611111111111112
mav+maxav+rms+ssc,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.869047619047619,0.9166666666666666
mav+maxav+rms+zc,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9047619047619048,0.8333333333333334
mav+maxav+rms+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.9166666666666666
mav+maxav+rms+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8571428571428571,0.9166666666666666
mav+maxav+rms+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.8333333333333334
mav+maxav+wl+ssc,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8214285714285715,0.8888888888888888
mav+maxav+wl+zc,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8095238095238096,0.8611111111111112
mav+maxav+wl+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.8888888888888888
mav+maxav+wl+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.8611111111111112
mav+maxav+wl+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8571428571428571,0.8888888888888888
mav+maxav+ssc+zc,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.7857142857142857,0.75
mav+maxav+ssc+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8690476190476191,0.8611111111111112
mav+maxav+ssc+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8928571428571429,0.7777777777777778
mav+maxav+ssc+median_freq,40,"{'n_neighbors': 5, 'weights': 'distance'}",0.7380952380952381,0.6944444444444444
mav+maxav+zc+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.8888888888888888
mav+maxav+zc+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8928571428571428,0.8055555555555556
mav+maxav+zc+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8571428571428572,0.8055555555555556
mav+maxav+wamp+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8571428571428571,0.9722222222222222
mav+maxav+wamp+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7738095238095237,0.7777777777777778
mav+maxav+mean_freq+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7738095238095238,0.9444444444444444
mav+rms+wl+ssc,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.8333333333333334
mav+rms+wl+zc,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.7738095238095237,0.9166666666666666
mav+rms+wl+wamp,40,"{'n_neighbors': 3, 'weights': 'uniform'}",0.8452380952380952,0.7777777777777778
mav+rms+wl+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.880952380952381,0.9166666666666666
mav+rms+wl+median_freq,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.7857142857142857,0.7777777777777778
mav+rms+ssc+zc,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7619047619047619,0.8055555555555556
mav+rms+ssc+wamp,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.8333333333333334
mav+rms+ssc+mean_freq,40,"{'n_neighbors': 7, 'weights': 'distance'}",0.8095238095238096,0.6666666666666666
mav+rms+ssc+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.7261904761904762,0.8333333333333334
mav+rms+zc+wamp,40,"{'n_neighbors': 3, 'weights': 'distance'}",0.8452380952380952,0.8333333333333334
mav+rms+zc+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.9047619047619048,0.9166666666666666
mav+rms+zc+median_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8214285714285715,0.8055555555555556
mav+rms+wamp+mean_freq,40,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8333333333333334,0.8888888888888888
