feature_set,n_features,best_cv_score,test_accuracy
maxav+rms+zc+wamp,40,0.5714285714285714,0.6944444444444444
maxav+rms+zc+mean_freq,40,0.5833333333333333,0.6666666666666666
maxav+rms+zc+median_freq,40,0.5952380952380952,0.7222222222222222
maxav+rms+wamp+mean_freq,40,0.5952380952380952,0.7222222222222222
maxav+rms+wamp+median_freq,40,0.6309523809523809,0.7222222222222222
maxav+rms+mean_freq+median_freq,40,0.5833333333333334,0.6944444444444444
maxav+wl+ssc+zc,40,0.6428571428571429,0.6944444444444444
maxav+wl+ssc+wamp,40,0.6547619047619048,0.6666666666666666
maxav+wl+ssc+mean_freq,40,0.6547619047619048,0.5277777777777778
maxav+wl+ssc+median_freq,40,0.6666666666666666,0.6388888888888888
maxav+wl+zc+wamp,40,0.6309523809523809,0.6944444444444444
maxav+wl+zc+mean_freq,40,0.6547619047619048,0.6666666666666666
maxav+wl+zc+median_freq,40,0.6904761904761906,0.75
maxav+wl+wamp+mean_freq,40,0.5952380952380952,0.5833333333333334
maxav+wl+wamp+median_freq,40,0.6666666666666666,0.6666666666666666
maxav+wl+mean_freq+median_freq,40,0.6904761904761906,0.6111111111111112
maxav+ssc+zc+wamp,40,0.5833333333333334,0.6944444444444444
maxav+ssc+zc+mean_freq,40,0.5357142857142857,0.6944444444444444
maxav+ssc+zc+median_freq,40,0.5714285714285714,0.7222222222222222
maxav+ssc+wamp+mean_freq,40,0.5833333333333334,0.5833333333333334
maxav+ssc+wamp+median_freq,40,0.6190476190476191,0.5833333333333334
maxav+ssc+mean_freq+median_freq,40,0.5952380952380952,0.6111111111111112
maxav+zc+wamp+mean_freq,40,0.5357142857142857,0.6111111111111112
maxav+zc+wamp+median_freq,40,0.6071428571428571,0.7222222222222222
maxav+zc+mean_freq+median_freq,40,0.5714285714285714,0.7222222222222222
maxav+wamp+mean_freq+median_freq,40,0.5952380952380952,0.6111111111111112
rms+wl+ssc+zc,40,0.5833333333333334,0.7222222222222222
rms+wl+ssc+wamp,40,0.5833333333333334,0.6944444444444444
rms+wl+ssc+mean_freq,40,0.5357142857142857,0.6111111111111112
rms+wl+ssc+median_freq,40,0.5595238095238094,0.6944444444444444
rms+wl+zc+wamp,40,0.6071428571428572,0.7777777777777778
rms+wl+zc+mean_freq,40,0.5595238095238094,0.7222222222222222
rms+wl+zc+median_freq,40,0.6071428571428571,0.75
rms+wl+wamp+mean_freq,40,0.5238095238095237,0.6388888888888888
rms+wl+wamp+median_freq,40,0.6190476190476191,0.6666666666666666
rms+wl+mean_freq+median_freq,40,0.5714285714285714,0.6388888888888888
rms+ssc+zc+wamp,40,0.6071428571428571,0.7777777777777778
rms+ssc+zc+mean_freq,40,0.5357142857142857,0.7222222222222222
rms+ssc+zc+median_freq,40,0.5476190476190476,0.7222222222222222
rms+ssc+wamp+mean_freq,40,0.5119047619047619,0.6944444444444444
rms+ssc+wamp+median_freq,40,0.6071428571428571,0.6944444444444444
rms+ssc+mean_freq+median_freq,40,0.5,0.6666666666666666
rms+zc+wamp+mean_freq,40,0.5238095238095238,0.8055555555555556
rms+zc+wamp+median_freq,40,0.5952380952380952,0.6388888888888888
rms+zc+mean_freq+median_freq,40,0.5357142857142857,0.75
rms+wamp+mean_freq+median_freq,40,0.6071428571428572,0.75
wl+ssc+zc+wamp,40,0.5714285714285713,0.5833333333333334
wl+ssc+zc+mean_freq,40,0.5595238095238095,0.5833333333333334
wl+ssc+zc+median_freq,40,0.5595238095238094,0.6111111111111112
wl+ssc+wamp+mean_freq,40,0.5952380952380952,0.4722222222222222
wl+ssc+wamp+median_freq,40,0.6071428571428571,0.5
wl+ssc+mean_freq+median_freq,40,0.5595238095238095,0.6111111111111112
wl+zc+wamp+mean_freq,40,0.5714285714285715,0.6388888888888888
wl+zc+wamp+median_freq,40,0.6071428571428571,0.6666666666666666
wl+zc+mean_freq+median_freq,40,0.6428571428571428,0.75
wl+wamp+mean_freq+median_freq,40,0.5952380952380952,0.5833333333333334
ssc+zc+wamp+mean_freq,40,0.5833333333333334,0.6111111111111112
ssc+zc+wamp+median_freq,40,0.5357142857142857,0.6111111111111112
ssc+zc+mean_freq+median_freq,40,0.48809523809523814,0.6388888888888888
ssc+wamp+mean_freq+median_freq,40,0.5714285714285713,0.5555555555555556
zc+wamp+mean_freq+median_freq,40,0.5952380952380952,0.6944444444444444
mav+std+maxav+rms+wl,50,0.6428571428571429,0.75
mav+std+maxav+rms+ssc,50,0.6428571428571428,0.8333333333333334
mav+std+maxav+rms+zc,50,0.6071428571428572,0.8333333333333334
mav+std+maxav+rms+wamp,50,0.6547619047619048,0.8055555555555556
mav+std+maxav+rms+mean_freq,50,0.6666666666666666,0.8055555555555556
mav+std+maxav+rms+median_freq,50,0.6071428571428571,0.8333333333333334
mav+std+maxav+wl+ssc,50,0.5952380952380952,0.75
mav+std+maxav+wl+zc,50,0.630952380952381,0.75
mav+std+maxav+wl+wamp,50,0.630952380952381,0.75
mav+std+maxav+wl+mean_freq,50,0.6547619047619048,0.6944444444444444
mav+std+maxav+wl+median_freq,50,0.6428571428571429,0.75
mav+std+maxav+ssc+zc,50,0.5833333333333334,0.8333333333333334
mav+std+maxav+ssc+wamp,50,0.6547619047619048,0.8055555555555556
mav+std+maxav+ssc+mean_freq,50,0.6428571428571429,0.8333333333333334
mav+std+maxav+ssc+median_freq,50,0.6309523809523809,0.8333333333333334
mav+std+maxav+zc+wamp,50,0.6071428571428572,0.8055555555555556
mav+std+maxav+zc+mean_freq,50,0.6428571428571429,0.8333333333333334
mav+std+maxav+zc+median_freq,50,0.6071428571428572,0.8333333333333334
mav+std+maxav+wamp+mean_freq,50,0.6309523809523809,0.7777777777777778
mav+std+maxav+wamp+median_freq,50,0.6309523809523809,0.8055555555555556
mav+std+maxav+mean_freq+median_freq,50,0.6547619047619048,0.7777777777777778
mav+std+rms+wl+ssc,50,0.5714285714285714,0.8333333333333334
mav+std+rms+wl+zc,50,0.6309523809523809,0.8333333333333334
mav+std+rms+wl+wamp,50,0.6071428571428571,0.8055555555555556
mav+std+rms+wl+mean_freq,50,0.5714285714285713,0.7222222222222222
mav+std+rms+wl+median_freq,50,0.6547619047619048,0.8055555555555556
mav+std+rms+ssc+zc,50,0.5476190476190476,0.8333333333333334
mav+std+rms+ssc+wamp,50,0.6190476190476191,0.8055555555555556
mav+std+rms+ssc+mean_freq,50,0.5595238095238094,0.7777777777777778
mav+std+rms+ssc+median_freq,50,0.5833333333333334,0.7222222222222222
mav+std+rms+zc+wamp,50,0.5595238095238095,0.8055555555555556
mav+std+rms+zc+mean_freq,50,0.5476190476190476,0.8055555555555556
mav+std+rms+zc+median_freq,50,0.5595238095238094,0.8333333333333334
mav+std+rms+wamp+mean_freq,50,0.5833333333333334,0.7777777777777778
mav+std+rms+wamp+median_freq,50,0.5714285714285714,0.8055555555555556
mav+std+rms+mean_freq+median_freq,50,0.5833333333333334,0.7777777777777778
mav+std+wl+ssc+zc,50,0.5833333333333334,0.8055555555555556
mav+std+wl+ssc+wamp,50,0.5833333333333334,0.8333333333333334
mav+std+wl+ssc+mean_freq,50,0.5952380952380952,0.6944444444444444
mav+std+wl+ssc+median_freq,50,0.5714285714285714,0.7777777777777778
mav+std+wl+zc+wamp,50,0.6071428571428571,0.7777777777777778
mav+std+wl+zc+mean_freq,50,0.6190476190476191,0.75
mav+std+wl+zc+median_freq,50,0.6190476190476191,0.7777777777777778
mav+std+wl+wamp+mean_freq,50,0.5952380952380952,0.7222222222222222
mav+std+wl+wamp+median_freq,50,0.6190476190476191,0.75
mav+std+wl+mean_freq+median_freq,50,0.6190476190476191,0.75
mav+std+ssc+zc+wamp,50,0.5952380952380953,0.8055555555555556
mav+std+ssc+zc+mean_freq,50,0.5595238095238094,0.8055555555555556
mav+std+ssc+zc+median_freq,50,0.5476190476190476,0.8055555555555556
